sample,time_us,amplitude
778,19.45,0.002197265625
779,19.475,0.001953125
780,19.5,0.001953125
781,19.525,0.001953125
782,19.55,0.001708984375
783,19.575,0.001953125
784,19.6,0.001953125
785,19.625,0.001953125
786,19.65,0.001953125
787,19.675,0.001953125
788,19.7,0.001953125
789,19.725,0.002197265625
790,19.75,0.001953125
791,19.775,0.001708984375
792,19.8,0.001953125
793,19.825,0.001953125
794,19.85,0.002197265625
795,19.875,0.001953125
796,19.9,0.001708984375
797,19.925,0.001953125
798,19.95,0.001953125
799,19.975,0.001708984375
800,20.0,0.001953125
801,20.025,0.001953125
802,20.05,0.001953125
803,20.075,0.001708984375
804,20.1,0.001953125
805,20.125,0.001708984375
806,20.15,0.001708984375
807,20.175,0.001953125
808,20.2,0.001708984375
809,20.225,0.001953125
810,20.25,0.001953125
811,20.275,0.001708984375
812,20.3,0.001708984375
813,20.325,0.001953125
814,20.35,0.001953125
815,20.375,0.001953125
816,20.4,0.001953125
817,20.425,0.002197265625
818,20.45,0.001953125
819,20.475,0.001708984375
820,20.5,0.001708984375
821,20.525,0.001953125
822,20.55,0.001953125
823,20.575,0.001708984375
824,20.6,0.001708984375
825,20.625,0.00146484375
826,20.65,0.001708984375
827,20.675,0.001708984375
828,20.7,0.00146484375
829,20.725,0.001708984375
830,20.75,0.00146484375
831,20.775,0.00146484375
832,20.8,0.001708984375
833,20.825,0.001708984375
834,20.85,0.001953125
835,20.875,0.00146484375
836,20.9,0.00146484375
837,20.925,0.00146484375
838,20.95,0.001708984375
839,20.975,0.001708984375
840,21.0,0.001708984375
841,21.025,0.00146484375
842,21.05,0.00146484375
843,21.075,0.00146484375
844,21.1,0.001708984375
845,21.125,0.001708984375
846,21.15,0.001708984375
847,21.175,0.001708984375
848,21.2,0.001708984375
849,21.225,0.001708984375
850,21.25,0.00146484375
851,21.275,0.001708984375
852,21.3,0.001708984375
853,21.325,0.00146484375
854,21.35,0.001708984375
855,21.375,0.00146484375
856,21.4,0.001953125
857,21.425,0.001708984375
858,21.45,0.001708984375
859,21.475,0.00146484375
860,21.5,0.00146484375
861,21.525,0.001708984375
862,21.55,0.001708984375
863,21.575,0.001708984375
864,21.6,0.001708984375
865,21.625,0.001708984375
866,21.65,0.00146484375
867,21.675,0.001708984375
868,21.7,0.001708984375
869,21.725,0.001708984375
870,21.75,0.00146484375
871,21.775,0.00146484375
872,21.8,0.001708984375
873,21.825,0.001708984375
874,21.85,0.00146484375
875,21.875,0.001708984375
876,21.9,0.001708984375
877,21.925,0.001708984375
878,21.95,0.00146484375
879,21.975,0.001708984375
880,22.0,0.00146484375
881,22.025,0.001708984375
882,22.05,0.00146484375
883,22.075,0.00146484375
884,22.1,0.001953125
885,22.125,0.001953125
886,22.15,0.001953125
887,22.175,0.001708984375
888,22.2,0.00146484375
889,22.225,0.00146484375
890,22.25,0.00146484375
891,22.275,0.001708984375
892,22.3,0.001708984375
893,22.325,0.001708984375
894,22.35,0.001708984375
895,22.375,0.00146484375
896,22.4,0.001708984375
897,22.425,0.001708984375
898,22.45,0.00146484375
899,22.475,0.001708984375
900,22.5,0.001708984375
901,22.525,0.001708984375
902,22.55,0.001708984375
903,22.575,0.00146484375
904,22.6,0.001708984375
905,22.625,0.001708984375
906,22.65,0.001708984375
907,22.675,0.001708984375
908,22.7,0.00146484375
909,22.725,0.00146484375
910,22.75,0.00146484375
911,22.775,0.00146484375
912,22.8,0.001708984375
913,22.825,0.001708984375
914,22.85,0.001708984375
915,22.875,0.00146484375
916,22.9,0.001708984375
917,22.925,0.001708984375
918,22.95,0.001708984375
919,22.975,0.001708984375
920,23.0,0.001708984375
921,23.025,0.00146484375
922,23.05,0.001708984375
923,23.075,0.001708984375
924,23.1,0.001953125
925,23.125,0.001708984375
926,23.15,0.001708984375
927,23.175,0.001953125
928,23.2,0.001708984375
929,23.225,0.001953125
930,23.25,0.001953125
931,23.275,0.001953125
932,23.3,0.001953125
