sample,amplitude
402,0.002197265625
403,0.002197265625
404,0.001953125
405,0.002197265625
406,0.002197265625
407,0.00244140625
408,0.002197265625
409,0.001953125
410,0.001953125
411,0.001953125
412,0.002197265625
413,0.001953125
414,0.002197265625
415,0.001953125
416,0.001953125
417,0.002197265625
418,0.001953125
419,0.002197265625
420,0.002197265625
421,0.001953125
422,0.002197265625
423,0.002197265625
424,0.001953125
425,0.001953125
426,0.002197265625
427,0.001953125
428,0.001953125
429,0.001953125
430,0.001953125
431,0.001953125
432,0.002197265625
433,0.001953125
434,0.001953125
435,0.002197265625
436,0.00244140625
437,0.002197265625
438,0.001953125
439,0.001953125
440,0.001953125
441,0.001953125
442,0.002197265625
443,0.001953125
444,0.001953125
445,0.001953125
446,0.001953125
447,0.002197265625
448,0.001953125
449,0.002197265625
450,0.002197265625
451,0.001953125
452,0.002197265625
453,0.001953125
454,0.002197265625
455,0.001953125
456,0.002197265625
457,0.002197265625
458,0.001953125
459,0.001953125
460,0.002197265625
461,0.002197265625
462,0.002197265625
463,0.002197265625
464,0.002197265625
465,0.001953125
466,0.001953125
467,0.002197265625
468,0.002197265625
469,0.002197265625
470,0.002197265625
471,0.002197265625
472,0.002197265625
473,0.002197265625
474,0.00244140625
475,0.002197265625
476,0.002197265625
477,0.00244140625
478,0.002197265625
479,0.002197265625
480,0.002197265625
481,0.00244140625
482,0.002197265625
483,0.002197265625
484,0.002197265625
485,0.002197265625
486,0.002197265625
487,0.00244140625
488,0.00244140625
489,0.00244140625
490,0.00244140625
491,0.00244140625
492,0.00244140625
493,0.002685546875
494,0.002197265625
495,0.00244140625
496,0.00244140625
497,0.00244140625
498,0.002197265625
499,0.00244140625
500,0.00244140625
501,0.00244140625
502,0.00244140625
503,0.00244140625
504,0.00244140625
505,0.00244140625
506,0.00244140625
507,0.00244140625
508,0.00244140625
509,0.002197265625
510,0.002197265625
511,0.00244140625
512,0.00244140625
513,0.00244140625
514,0.002197265625
515,0.00244140625
516,0.002197265625
517,0.00244140625
518,0.00244140625
519,0.00244140625
520,0.002197265625
521,0.002685546875
522,0.00244140625
523,0.002685546875
524,0.00244140625
525,0.002685546875
526,0.00244140625
527,0.002197265625
528,0.00244140625
529,0.00244140625
530,0.00244140625
531,0.00244140625
532,0.00244140625
533,0.002197265625
534,0.00244140625
535,0.00244140625
536,0.002197265625
537,0.00244140625
538,0.00244140625
539,0.00244140625
540,0.00244140625
541,0.00244140625
542,0.002197265625
543,0.002197265625
544,0.002197265625
545,0.002197265625
546,0.002197265625
547,0.002197265625
548,0.002197265625
549,0.001953125
550,0.002197265625
551,0.002197265625
552,0.002197265625
553,0.00244140625
554,0.002197265625
555,0.002197265625
556,0.001953125
557,0.002197265625
558,0.002197265625
559,0.002197265625
560,0.002197265625
561,0.00244140625
562,0.002197265625
563,0.002197265625
564,0.001953125
565,0.001953125
566,0.002197265625
567,0.00244140625
568,0.00244140625
569,0.002197265625
570,0.001953125
571,0.001953125
572,0.001953125
573,0.002197265625
574,0.001953125
575,0.002197265625
576,0.002197265625
577,0.001708984375
578,0.002197265625
579,0.002197265625
580,0.002197265625
581,0.002197265625
582,0.002197265625
583,0.002197265625
584,0.001953125
585,0.001953125
586,0.001953125
587,0.001953125
588,0.002197265625
589,0.002197265625
590,0.001953125
591,0.002197265625
592,0.001953125
593,0.001953125
594,0.001953125
595,0.001953125
596,0.001953125
597,0.002197265625
598,0.001953125
599,0.00244140625
600,0.00244140625
601,0.002197265625
602,0.001953125
603,0.001953125
604,0.002197265625
605,0.002197265625
606,0.001953125
607,0.002197265625
608,0.002197265625
609,0.00244140625
610,0.002197265625
611,0.00244140625
612,0.002197265625
613,0.002197265625
614,0.001953125
615,0.001953125
616,0.002197265625
617,0.002197265625
618,0.002197265625
619,0.001953125
620,0.001953125
621,0.001953125
622,0.001953125
623,0.002197265625
624,0.001953125
625,0.002197265625
626,0.002197265625
627,0.002197265625
628,0.00244140625
629,0.002197265625
630,0.002197265625
631,0.001953125
632,0.001953125
633,0.002197265625
634,0.002197265625
635,0.00244140625
636,0.00244140625
637,0.001953125
638,0.002197265625
639,0.002197265625
640,0.00244140625
641,0.002197265625
